site_no,No.Iso.Node,Sp.Richness,Basal,Predator,No.Link,Link.Density,Connectance,Nic.over.Con.Jac,Mean.Gen,Mean.TL,Omnivory,Coherence,Skew.Degree,Nestedness,Modularity,Size.Cluster.BG,Frac.Cluster.BG,Mean.ShortestPath,Basal.rand,Predator.rand,Skew.Degree.rand,Nic.over.Con.Jac.rand,Mean.Gen.rand,Mean.TL.rand,Omnivory.rand,Coherence.rand,Nestedness.rand,Modularity.rand,Size.Cluster.BG.rand,Frac.Cluster.BG.rand,Mean.ShortestPath.rand
17,1,94,47,46,912,9.70212766,0.103214124,0.158299824,8.854368932,2.246650825,0.329538637,0.529347766,1.122622649,29.54709584,0.268068607,53.09,0.564787234,2.639655953,0,94,-0.306770257,0.049305965,8.854368932,10.19148425,2.759287127,3.00437464,9.07457527,0.186785461,28.71,0.305425532,1.845631507
18,1,98,52,43,795,8.112244898,0.082778009,0.149133449,7.429906542,2.223932344,0.29825515,0.515714003,1.375375054,26.41645997,0.289361258,51.93,0.529897959,2.558725531,0,98,0.09324601,0.039858279,7.429906542,11.67150021,2.799298051,3.272764721,7.990809373,0.208011095,27.28,0.278367347,1.930029155
19,0,108,58,48,991,9.175925926,0.084962277,0.146101353,8.398305085,2.223932426,0.298527527,0.5295946,1.396343318,28.76392349,0.288678115,52.57,0.486759259,2.445301783,0,108,0.278051516,0.040335883,8.398305085,10.16023245,2.723481111,2.988534158,7.986324833,0.198121872,32.93,0.304907407,1.908436214
20,1,85,44,38,634,7.458823529,0.087750865,0.163357424,6.744680851,2.201603591,0.303599117,0.523051829,1.222720239,25.40952822,0.314862032,58.1,0.683529412,3.0416609,0,85,-0.419057639,0.040457982,6.744680851,10.75892112,2.845314265,3.04992686,7.662435781,0.209429509,23.08,0.271529412,1.932179931
21,0,91,47,41,794,8.725274725,0.09588214,0.150126585,7.861386139,2.204052353,0.319841723,0.54350547,1.061852449,27.54635127,0.274138962,49.56,0.544615385,2.432797971,0,91,-0.197998968,0.045391871,7.861386139,8.679004715,2.546138555,2.687500735,8.340890215,0.197631828,17.02,0.187032967,1.887453206
22,1,100,55,42,805,8.05,0.0805,0.151252697,7.385321101,2.16843216,0.274461867,0.497655197,1.480732186,28.09379714,0.29370339,51.83,0.5183,2.6432,0,100,-0.419082815,0.039178334,7.385321101,10.4619997,2.478626375,2.81250216,7.631103818,0.221231907,24.28,0.2428,1.9462
23,1,89,51,35,603,6.775280899,0.076126752,0.161042295,6.153061224,2.114009169,0.253868519,0.432024617,1.639362091,24.41049349,0.323352369,57.6,0.647191011,3.316752935,1,88,0.197648762,0.038087411,6.153061224,12.7138625,2.683857186,3.304455372,7.079573739,0.244315667,27.71,0.311348315,2.019694483
24,1,93,47,43,831,8.935483871,0.096080472,0.153357327,8.147058824,2.228546258,0.308969466,0.533247748,1.057663182,29.33959598,0.265454834,51.23,0.550860215,2.668285351,0,93,-0.133571531,0.045290632,8.147058824,11.25970041,2.902288911,3.228266682,8.716953709,0.200644416,29.47,0.31688172,1.873280148
25,1,78,43,33,617,7.91025641,0.101413544,0.16555598,7.091954023,2.185123827,0.271967415,0.516217729,1.008610507,29.56469814,0.277131149,47.5,0.608974359,2.808021039,0,78,0.354883499,0.050158959,7.091954023,6.981817033,2.197655891,2.305226562,9.181071609,0.217245423,19.63,0.251666667,1.918474688
26,0,89,44,42,804,9.033707865,0.101502336,0.149712383,8.121212121,2.195211035,0.298254859,0.523320513,0.914983465,27.86403835,0.274014839,43.77,0.491797753,2.590834491,0,89,-0.512987507,0.047227669,8.121212121,10.15350539,2.757466569,3.010793476,8.657955858,0.194147462,22.11,0.248426966,1.847494003
